location,year,month,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_cases,new_cases,total_deaths,new_deaths,vaccine_types_used
Belgium,2022,1,93948922,279949469.0,274367800.0,78392928.0,1049896.0,888373.0,721.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Belgium,2022,2,98622991,257553522.0,251931072.0,95970582.0,402075.0,831533.0,1127.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Belgium,2022,3,99881635,239902945.0,236859350.0,114254239.0,293734.0,944980.0,647.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Bulgaria,2021,1,99194,499942.0,94707.0,6550706.0,16482.0,261407.0,1469.0,"Pfizer/BioNTech, Moderna"
Bulgaria,2021,2,464224,2117004.0,660707.0,6492052.0,28290.0,270490.0,1146.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bulgaria,2021,3,1432961,8817984.0,2021931.0,9012470.0,95595.0,359929.0,3006.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bulgaria,2021,4,3262615,14813354.0,4028310.0,11402304.0,61747.0,448434.0,3202.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Johnson&Johnson"
Bulgaria,2021,5,4669068,21880050.0,12470967.0,12813504.0,14197.0,533689.0,1301.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bulgaria,2021,6,6430031,26690136.0,21263885.0,12616355.0,3252.0,537895.0,361.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bulgaria,2021,7,9556487,16924847.0,14951480.0,13114402.0,3225.0,562938.0,152.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bulgaria,2021,8,8758691,18044441.0,33628236.0,13546653.0,30688.0,571340.0,683.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bulgaria,2021,9,9737710,0.0,37726119.0,14345031.0,46420.0,595258.0,1986.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bulgaria,2021,10,13360169,2940741.0,40656963.0,16915796.0,100330.0,693426.0,3117.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bulgaria,2021,11,12520862,1786530.0,47760789.0,19750211.0,92565.0,794753.0,4454.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bulgaria,2021,12,17849791,1904143.0,55763726.0,22352598.0,52051.0,925071.0,2502.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bulgaria,2022,1,16112673,0.0,60749901.0,25928937.0,204857.0,996617.0,2363.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bulgaria,2022,2,17018175,2073249.0,54738768.0,29127460.0,139314.0,968110.0,2263.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bulgaria,2022,3,12965662,4159422.0,24580768.0,34658426.0,47644.0,1121052.0,948.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Chile,2020,12,57204,57204.0,0.0,17938094.0,57230.0,495826.0,1198.0,Pfizer/BioNTech
Chile,2021,1,1097498,934767.0,162731.0,20661911.0,118136.0,540938.0,1844.0,Pfizer/BioNTech
Chile,2021,2,54891587,53678554.0,1213033.0,21754084.0,97516.0,546762.0,2120.0,"Pfizer/BioNTech, Sinovac"
Chile,2021,3,223591977,159939159.0,63652818.0,28062147.0,170913.0,676397.0,2563.0,"Pfizer/BioNTech, Sinovac"
Chile,2021,4,385838155,227873895.0,157964260.0,33124646.0,202707.0,744626.0,3218.0,"Pfizer/BioNTech, Sinovac, Oxford/AstraZeneca"
Chile,2021,5,520263839,287920030.0,232343884.0,39934689.0,186101.0,862376.0,2947.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, CanSino"
Chile,2021,6,631054271,356474867.0,281058965.0,44517883.0,171556.0,928910.0,3245.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Chile,2021,7,767750786,416652527.0,366127094.0,49388121.0,59869.0,1060535.0,2903.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Chile,2021,8,830692414,441114075.0,405654936.0,50497566.0,22904.0,1126688.0,1489.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Chile,2021,9,844103723,441684181.0,419195112.0,49380560.0,15589.0,1117971.0,531.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Chile,2021,10,931320339,499457962.0,449535048.0,51806783.0,40784.0,1166007.0,502.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
